Schumer	 Charles E	NY	D	N00001093
Schweikert	 David	AZ	R	N00006460
Scott	 Austin	GA	R	N00032457
Scott	 Bobby	VA	D	N00002147
Scott	 David	GA	D	N00024871
Scott	 Elizabeth	WA	R	N00037195
Scott	 Tim	SC	R	N00031782
Sensenbrenner	 F James Jr	WI	R	N00004291
Serrano	 Jose E	NY	D	N00001813
Sessions	 Pete	TX	R	N00005681
Sestak	 Joe	PA	D	N00028049
Sewell	 Terri A	AL	D	N00030622
Shelby	 Richard C	AL	R	N00009920
Sheridan	 Tim	CA	D	N00035390
Sherman	 Brad	CA	D	N00006897
Shimkus	 John M	IL	R	N00004961
Shuster	 Bill	PA	R	N00013770
Simpson	 Mike	ID	R	N00006263
Sinema	 Kyrsten	AZ	D	N00033983
Sires	 Albio	NJ	D	N00027523
Sittenfeld	 P G	OH	D	N00036923
Slaughter	 Louise M	NY	D	N00001311
Slavens	 John	TX	R	N00037056
Smith	 Adam	WA	D	N00007833
Smith	 Adrian	NE	R	N00027623
Smith	 Chris	NJ	R	N00009816
Smith	 Glo	FL	R	N00035396
Smith	 Jason	MO	R	N00035282
Smith	 Joe	FL	R	N00008327
Smith	 Lamar	TX	R	N00001811
Sol-Gutierrez	 Ana	MD	D	N00037188
Sparks	 Daniel	MS	R	N00037046
Speier	 Jackie	CA	D	N00029649
Starrett	 Grant	TN	R	N00037055
Stefanik	 Elise	NY	R	N00035523
Stern	 Everett	PA	R	N00035961
Stewart	 Chris	UT	R	N00033932
Stivers	 Steve	OH	R	N00029574
Straw	 Andrew	IL	R	N00033103
Strickland	 Ted	OH	D	N00003730
Strzala	 Melissa	OH	R	N00036760
Stutzman	 Marlin	IN	R	N00030891
Swaim	 Jason	CA	I	N00036916
Swalwell	 Eric	CA	D	N00033508
Swartz	 Donnie	MO	R	N00037041
Swing	 Gary	CO	3	N00008079
Tacherra	 Johnny	CA	R	N00033798
Taddeo	 Annette	FL	D	N00029848
Tagert	 Mike	MS	R	N00036927
Takai	 Mark	HI	D	N00035535
Takano	 Mark	CA	D	N00006701
Taub	 Russ	RI	R	N00036909
Taylor	 Kerith Strano	PA	D	N00035957
Taylor	 Priscilla	FL	D	N00037024
Thompson	 Bennie G	MS	D	N00003288
Thompson	 Glenn	PA	R	N00029736
Thompson	 Kirk	CA	R	N00036931
Thompson	 Mike	CA	D	N00007419
Thornberry	 Mac	TX	R	N00006052
Throne-Holst	 Anna	NY	D	N00037191
Thune	 John	SD	R	N00004572
Tiberi	 Patrick J	OH	R	N00009699
Tipton	 Scott	CO	R	N00027509
Titus	 Dina	NV	D	N00030191
Tonko	 Paul	NY	D	N00030196
Toomey	 Pat	PA	R	N00001489
Torres	 Norma	CA	D	N00036107
Trott	 Dave	MI	R	N00035607
Tsongas	 Niki	MA	D	N00029026
Turner	 Ingrid	MD	D	N00037035
Turner	 Michael R	OH	R	N00025175
Upton	 Fred	MI	R	N00004133
Valadao	 David	CA	R	N00033367
Van Hollen	 Chris	MD	D	N00013820
Vargas	 Juan	CA	D	N00007021
Veasey	 Marc	TX	D	N00033839
Vega	 Angel L	FL	D	N00037023
Vela	 Filemon	TX	D	N00034349
Velazquez	 Nydia M	NY	D	N00001102
Veltmeyer	 James	CA	R	N00037021
Vernon	 Monica	IA	D	N00035410
Vince	 Lou	CA	D	N00037175
Visclosky	 Pete	IN	D	N00003813
Vivoni	 Miguel Hernandez	PR	3	N00036779
Wagner	 Ann L	MO	R	N00033106
Walberg	 Tim	MI	R	N00026368
Walden	 Greg	OR	R	N00007690
Walker	 Mark	NC	R	N00035311
Walorski	 Jackie	IN	R	N00031226
Walters	 Mimi	CA	R	N00035391
Walz	 Timothy J	MN	D	N00027467
Waters	 Maxine	CA	D	N00006690
Watson	 Lupe Ramos	CA	R	N00037018
Weber	 Randy	TX	R	N00033539
Webster	 Daniel	FL	R	N00026335
Welch	 Peter	VT	D	N00000515
Wenstrup	 Brad	OH	R	N00033310
Westerman	 Bruce	AR	R	N00035527
Westmoreland	 Lynn A	GA	R	N00026163
Wheeler	 Marihelen	FL	D	N00036252
White	 Jim	MO	D	N00036984
Whitfield	 Ed	KY	R	N00003467
